pod,initial_latency,end_latency,initial_request,end_request,1,2,3
1,0,500,0,18,1.96,-0.92,-0.7399999999999999
2,0,500,0,18,5.66,2.92,2.1
3,0,500,0,18,-1.4000000000000001,7.640000000000001,1.96
1,501,1000,0,18,0.0,0.0,0.0
2,501,1000,0,18,-1.8800000000000001,-2.0,4.640000000000001
3,501,1000,0,18,-2.0,2.9,0.0
1,1001,1500,0,18,0.0,0.0,0.0
2,1001,1500,0,18,0.0,0.0,0.0
3,1001,1500,0,18,0.0,0.0,0.0
1,1501,2000,0,18,0.0,0.0,0.0
2,1501,2000,0,18,0.0,0.0,0.0
3,1501,2000,0,18,0.0,0.0,0.0
1,0,500,19,36,0.0,0.0,0.0
2,0,500,19,36,-1.58,-1.82,-2.0
3,0,500,19,36,0.0,0.0,0.0
1,501,1000,19,36,-2.0,10.94,0.0
2,501,1000,19,36,-1.7600000000000002,-0.82,2.0
3,501,1000,19,36,0.0,0.0,0.0
1,1001,1500,19,36,0.0,0.0,0.0
2,1001,1500,19,36,0.0,0.0,0.0
3,1001,1500,19,36,0.0,0.0,0.0
1,1501,2000,19,36,0.0,0.0,0.0
2,1501,2000,19,36,0.0,0.0,0.0
3,1501,2000,19,36,0.0,0.0,0.0
1,0,500,37,54,0.0,0.0,0.0
2,0,500,37,54,0.0,0.0,0.0
3,0,500,37,54,0.0,0.0,0.0
1,501,1000,37,54,0.0,0.0,0.0
2,501,1000,37,54,0.0,0.0,0.0
3,501,1000,37,54,0.0,0.0,0.0
1,1001,1500,37,54,0.0,0.0,0.0
2,1001,1500,37,54,0.0,0.0,0.0
3,1001,1500,37,54,0.0,0.0,0.0
1,1501,2000,37,54,0.0,0.0,0.0
2,1501,2000,37,54,0.0,0.0,0.0
3,1501,2000,37,54,0.0,0.0,0.0
